"id","main_category","secondary_categories","solutions_annotated"
200,"Spolupráce s odborníky","Přemístění žáka, Důsledky","Spolupráce s odborníky"
148,"Upozornění","Proaktivní řešení, Spolupráce s odborníky","Upozornění"
299,"Nerespektující komunikace","","Nerespektující komunikace"
619,"Rozhovor","Podpora","Rozhovor"
332,"Rozhovor","","Rozhovor"
567,"Proaktivní řešení","Podpora, Práce s kolektivem","Proaktivní řešení"
136,"Podpora","Rozhovor, Dohoda","Podpora"
1143,"Rozhovor","Práce s kolektivem, Proaktivní řešení","Nerespektující komunikace"
436,"Dohoda","Rozhovor, Práce s kolektivem","Spolupráce s odborníky"
630,"Důsledky","Rozhovor, Nerespektující komunikace","Důsledky"
1356,"Rozhovor","Upozornění, Nerespektující komunikace","Rozhovor"
597,"Rozhovor","Podpora","Rozhovor"
1247,"Nerespektující komunikace","Upozornění, Důsledky","Nerespektující komunikace"
614,"Rozhovor","Dohoda","Rozhovor"
1486,"Rozhovor","Podpora","Rozhovor"
1241,"Rozhovor","Upozornění","Rozhovor"
1432,"Rozhovor","Práce s kolektivem","Rozhovor"
763,"Upozornění","Podpora","Podpora"
1331,"Rozhovor","Podpora","Rozhovor"
1010,"Podpora","Rozhovor, Proaktivní řešení","Rozhovor"
319,"Rozhovor","Podpora","Rozhovor"
1160,"Důsledky","Podpora, Rozhovor","Rozhovor"
1378,"Upozornění","N/A","Upozornění"
13,"Podpora","Proaktivní řešení","Podpora"
172,"Spolupráce s odborníky","Přemístění žáka","Spolupráce s odborníky"
410,"Rozhovor","Upozornění, Podpora","Rozhovor"
1206,"Upozornění","Rozhovor, Podpora","Rozhovor"
1322,"Spolupráce s odborníky","Přemístění žáka","Spolupráce s odborníky"
574,"Podpora","Proaktivní řešení, Práce s kolektivem","Podpora"
919,"Práce s kolektivem","Rozhovor, Dohoda, Podpora","Práce s kolektivem"
468,"Nerespektující komunikace","","Nerespektující komunikace"
322,"Rozhovor","Práce s kolektivem, Důsledky","Práce s kolektivem"
6,"Rozhovor","Spolupráce s odborníky, Upozornění","Spolupráce s odborníky"
1296,"Spolupráce s odborníky","Rozhovor, Důsledky","Spolupráce s odborníky"
608,"Rozhovor","Upozornění","Rozhovor"
554,"Rozhovor","Dohoda, Práce s kolektivem","Rozhovor"
902,"Rozhovor","Podpora","Rozhovor"
1053,"Rozhovor","Spolupráce s odborníky, Podpora","Rozhovor"
1224,"Rozhovor","Podpora, Spolupráce s odborníky","Rozhovor"
695,"Práce s kolektivem","Proaktivní řešení","Práce s kolektivem"
67,"Přemístění žáka","Upozornění, Nerespektující komunikace","Přemístění žáka"
1038,"Spolupráce s odborníky","Rozhovor","Spolupráce s odborníky"
1407,"Rozhovor","Podpora, Proaktivní řešení","Rozhovor"
216,"Důsledky","Upozornění, Nerespektující komunikace","Důsledky"
337,"Důsledky","Rozhovor","Fyzické zakročení"
107,"Přemístění žáka","Spolupráce s odborníky, Podpora","Přemístění žáka"
1503,"Přemístění žáka","Rozhovor, Spolupráce s odborníky","Spolupráce s odborníky"
742,"Práce s kolektivem","Rozhovor","Práce s kolektivem"
786,"Proaktivní řešení","Práce s kolektivem, Podpora","Práce s kolektivem"
1271,"Práce s kolektivem","Rozhovor","Práce s kolektivem"
1251,"Rozhovor","Podpora","Rozhovor"
466,"Upozornění","Důsledky, Nerespektující komunikace","Fyzické zakročení"
281,"Práce s kolektivem","Rozhovor","Práce s kolektivem"
53,"Přemístění žáka","Upozornění, Nerespektující komunikace","Upozornění"
546,"Rozhovor","Upozornění, Spolupráce s odborníky","Rozhovor"
1164,"Podpora","Spolupráce s odborníky","Spolupráce s odborníky"
980,"Rozhovor","Podpora","Rozhovor"
81,"Podpora","Rozhovor","Rozhovor"
106,"Spolupráce s odborníky","Podpora","Spolupráce s odborníky"
753,"Upozornění","Rozhovor, Dohoda","Rozhovor"
335,"Rozhovor","Podpora","Rozhovor"
98,"Rozhovor","Práce s kolektivem, Upozornění","Rozhovor"
738,"Proaktivní řešení","Podpora, Upozornění","Podpora"
1348,"Přemístění žáka","Spolupráce s odborníky","Spolupráce s odborníky"
1252,"Rozhovor","Upozornění","Rozhovor"
118,"Rozhovor","Práce s kolektivem, Upozornění","Práce s kolektivem"
95,"Spolupráce s odborníky","Podpora","Spolupráce s odborníky"
34,"Upozornění","N/A","Upozornění"
1107,"Proaktivní řešení","Podpora, Práce s kolektivem","Podpora"
911,"Podpora","Rozhovor, Dohoda","Podpora"
1138,"Spolupráce s odborníky","Podpora, Přemístění žáka","Spolupráce s odborníky"
645,"Upozornění","Rozhovor, Důsledky","Upozornění"
830,"Rozhovor","Upozornění, Podpora","Rozhovor"
610,"Rozhovor","Podpora, Spolupráce s odborníky","Rozhovor"
839,"Podpora","Proaktivní řešení, Práce s kolektivem","Podpora"
146,"Upozornění","Nerespektující komunikace","Spolupráce s odborníky"
251,"Rozhovor","","Rozhovor"
1452,"Proaktivní řešení","Podpora, Práce s kolektivem","Podpora"
1207,"Důsledky","Rozhovor, Spolupráce s odborníky","Důsledky"
558,"Nerespektující komunikace","Upozornění","Nerespektující komunikace"
461,"Rozhovor","Proaktivní řešení","Rozhovor"
698,"Rozhovor","Upozornění, Nerespektující komunikace","Rozhovor"
1500,"Podpora","Proaktivní řešení","Podpora"
1182,"Rozhovor","Podpora, Proaktivní řešení","Rozhovor"
1431,"Podpora","Proaktivní řešení","Podpora"
1041,"Rozhovor","Práce s kolektivem","Rozhovor"
149,"Upozornění","Proaktivní řešení, Podpora","Upozornění"
815,"Rozhovor","Spolupráce s odborníky, Podpora","Rozhovor"
556,"Podpora","Upozornění, Rozhovor","Podpora"
916,"Spolupráce s odborníky","Rozhovor","Spolupráce s odborníky"
134,"Proaktivní řešení","Podpora","Upozornění"
1115,"Nerespektující komunikace","Upozornění","Nerespektující komunikace"
409,"Rozhovor","Upozornění, Podpora","Rozhovor"
387,"Rozhovor","Upozornění, Dohoda","Rozhovor"
829,"Rozhovor","Podpora, Proaktivní řešení","Rozhovor"
476,"Nerespektující komunikace","Upozornění, Důsledky","Nerespektující komunikace"
1288,"Důsledky","Rozhovor, Přemístění žáka","Důsledky"
1177,"Nerespektující komunikace","Upozornění, Proaktivní řešení","Nerespektující komunikace"
173,"Rozhovor","N/A","Rozhovor"
451,"Rozhovor","Práce s kolektivem","Rozhovor"
126,"Rozhovor","Upozornění","Upozornění"
989,"Spolupráce s odborníky","Rozhovor, Podpora","Spolupráce s odborníky"
1458,"Přemístění žáka","Upozornění, Proaktivní řešení","Přemístění žáka"
787,"Rozhovor","Podpora, Přemístění žáka","Rozhovor"
327,"Přemístění žáka","Podpora","Rozhovor"
496,"(Kázeňské) Tresty","Důsledky, Nerespektující komunikace","Nerespektující komunikace"
946,"Podpora","Nerespektující komunikace","Podpora"
174,"Nerespektující komunikace","Upozornění, (Kázeňské) Tresty","Nerespektující komunikace"
658,"Upozornění","","Upozornění"
843,"Přemístění žáka","Spolupráce s odborníky","Spolupráce s odborníky"
1111,"Upozornění","Rozhovor","Rozhovor"
223,"Práce s kolektivem","Rozhovor, Upozornění","Práce s kolektivem"
42,"Přemístění žáka","Fyzické zakročení, Podpora","Rozhovor"
1274,"Rozhovor","N/A","Rozhovor"
484,"Přemístění žáka","Nerespektující komunikace, Podpora","Podpora"
469,"Práce s kolektivem","Rozhovor, Podpora","Práce s kolektivem"
948,"Fyzické zakročení","Nerespektující komunikace, Důsledky","Fyzické zakročení"
384,"Nerespektující komunikace","Upozornění, Důsledky","Důsledky"
915,"Rozhovor","Dohoda","Rozhovor"
233,"Rozhovor","Podpora","Rozhovor"
19,"Rozhovor","Upozornění, Podpora","Rozhovor"
342,"Upozornění","Důsledky, Podpora","Rozhovor"
1133,"Podpora","Přemístění žáka, Rozhovor","Rozhovor"
1435,"(Kázeňské) Tresty","Spolupráce s odborníky, Upozornění","(Kázeňské) Tresty"
663,"Upozornění","Rozhovor, Podpora","Rozhovor"
1094,"Podpora","Rozhovor","Podpora"
761,"Rozhovor","Podpora","Rozhovor"
729,"Proaktivní řešení","Práce s kolektivem, Podpora","Práce s kolektivem"
413,"Upozornění","Důsledky, (Kázeňské) Tresty","Upozornění"
826,"Rozhovor","Práce s kolektivem, Upozornění, Nerespektující komunikace","Rozhovor"
115,"Důsledky","Rozhovor, Upozornění, Podpora","Dohoda"
90,"Přemístění žáka","Proaktivní řešení, Podpora","Přemístění žáka"
691,"Rozhovor","Dohoda, Proaktivní řešení, Upozornění","Rozhovor"
852,"Rozhovor","Podpora, Spolupráce s odborníky","Rozhovor"
896,"Rozhovor","Spolupráce s odborníky, Práce s kolektivem","Rozhovor"
258,"Rozhovor","Důsledky, Spolupráce s odborníky","Rozhovor"
1040,"Rozhovor","Upozornění, Důsledky","Rozhovor"
1016,"Rozhovor","","Rozhovor"
1324,"Rozhovor","Podpora","Rozhovor"
341,"Rozhovor","Podpora","Rozhovor"
432,"(Kázeňské) Tresty","Nerespektující komunikace","Dohoda"
912,"Fyzické zakročení","Upozornění, Rozhovor","Fyzické zakročení"
1211,"Nerespektující komunikace","Upozornění","Nerespektující komunikace"
1012,"Přemístění žáka","Nerespektující komunikace, Důsledky","Rozhovor"
1009,"(Kázeňské) Tresty","Upozornění, Nerespektující komunikace","(Kázeňské) Tresty"
697,"Rozhovor","Podpora, Práce s kolektivem","Rozhovor"
154,"Fyzické zakročení","Rozhovor, Důsledky","Fyzické zakročení"
1479,"Rozhovor","Spolupráce s odborníky, Důsledky","Rozhovor"
1505,"Rozhovor","Podpora, Práce s kolektivem","Rozhovor"
790,"Rozhovor","Podpora, Upozornění","Rozhovor"
791,"Rozhovor","Upozornění, Podpora","Rozhovor"
117,"Práce s kolektivem","Proaktivní řešení, Podpora","Práce s kolektivem"
1082,"Upozornění","Rozhovor","Rozhovor"
120,"Dohoda","Rozhovor, Důsledky","Dohoda"
636,"Nerespektující komunikace","Upozornění","Nerespektující komunikace"
1457,"Důsledky","Upozornění, (Kázeňské) Tresty","Důsledky"
992,"Upozornění","Rozhovor, Nerespektující komunikace","Nerespektující komunikace"
774,"Dohoda","Rozhovor, Podpora","Dohoda"
444,"Rozhovor","Důsledky, Spolupráce s odborníky","Nerespektující komunikace"
1003,"Rozhovor","Důsledky","Rozhovor"
1078,"Rozhovor","Dohoda","Nerespektující komunikace"
838,"Podpora","Rozhovor, Spolupráce s odborníky, Proaktivní řešení","Podpora"
1178,"Upozornění","Podpora, Proaktivní řešení","Upozornění"
727,"Upozornění","Důsledky","Dohoda"
834,"Rozhovor","N/A","Rozhovor"
400,"Důsledky","Upozornění, Podpora","Rozhovor"
828,"Rozhovor","Podpora, Spolupráce s odborníky","Rozhovor"
538,"Rozhovor","Podpora, Přemístění žáka","Rozhovor"
759,"Proaktivní řešení","Podpora, Práce s kolektivem","Podpora"
1063,"Spolupráce s odborníky","Rozhovor","Rozhovor"
246,"Podpora","Rozhovor, Dohoda","Podpora"
785,"Rozhovor","Podpora, Nerespektující komunikace","Rozhovor"
490,"(Kázeňské) Tresty","Upozornění, Rozhovor","(Kázeňské) Tresty"
155,"Spolupráce s odborníky","Rozhovor, Podpora","Rozhovor"
854,"Rozhovor","Důsledky, Dohoda","Rozhovor"
570,"Podpora","Proaktivní řešení, Práce s kolektivem","Podpora"
1434,"Podpora","Rozhovor, (Kázeňské) Tresty, Spolupráce s odborníky","Podpora"
18,"Rozhovor","Upozornění, Práce s kolektivem, Důsledky","Rozhovor"
928,"Rozhovor","Důsledky","Rozhovor"
1477,"(Kázeňské) Tresty","","(Kázeňské) Tresty"
191,"Podpora","Upozornění, Proaktivní řešení","Podpora"
1471,"Nerespektující komunikace","Upozornění, (Kázeňské) Tresty","Nerespektující komunikace"
1329,"Fyzické zakročení","Rozhovor, Nerespektující komunikace","Fyzické zakročení"
1263,"Rozhovor","Dohoda, Spolupráce s odborníky","Rozhovor"
1070,"Spolupráce s odborníky","Rozhovor, Podpora","Rozhovor"
477,"Důsledky","Proaktivní řešení","(Kázeňské) Tresty"
1196,"Spolupráce s odborníky","Rozhovor","Rozhovor"
17,"Rozhovor","Práce s kolektivem","Rozhovor"
1073,"Rozhovor","Upozornění, Důsledky","Rozhovor"
547,"Proaktivní řešení","Rozhovor, Podpora","Podpora"
284,"Nerespektující komunikace","Důsledky","Důsledky"
798,"Spolupráce s odborníky","Podpora, Dohoda","Podpora"
438,"Rozhovor","Důsledky","Rozhovor"
1465,"Důsledky","Rozhovor, (Kázeňské) Tresty","Důsledky"
470,"Nerespektující komunikace","Upozornění, Důsledky","Nerespektující komunikace"
640,"Upozornění","Rozhovor, Důsledky","Rozhovor"
1371,"Rozhovor","Podpora, Důsledky","Rozhovor"
957,"Rozhovor","Spolupráce s odborníky, Důsledky","Rozhovor"
914,"Rozhovor","(Kázeňské) Tresty, Nerespektující komunikace","Rozhovor"
1381,"Fyzické zakročení","Nerespektující komunikace, Upozornění","Fyzické zakročení"
104,"Rozhovor","Upozornění, Nerespektující komunikace","Nerespektující komunikace"
1336,"Spolupráce s odborníky","Rozhovor","Spolupráce s odborníky"
1144,"Rozhovor","Důsledky, Podpora","Rozhovor"
208,"Práce s kolektivem","Rozhovor, Podpora","Rozhovor"
1425,"Rozhovor","Dohoda, Podpora, Proaktivní řešení","Rozhovor"
9,"Rozhovor","Upozornění, Podpora","Rozhovor"
1015,"Práce s kolektivem","Rozhovor, Proaktivní řešení","Rozhovor"
1351,"Práce s kolektivem","Rozhovor","Rozhovor"
897,"Podpora","Rozhovor","Rozhovor"
1421,"Rozhovor","Podpora","Rozhovor"
346,"(Kázeňské) Tresty","Upozornění, Podpora","(Kázeňské) Tresty"
641,"Rozhovor","Spolupráce s odborníky, Podpora, Důsledky","Rozhovor"
1418,"Spolupráce s odborníky","Podpora, Rozhovor","Spolupráce s odborníky"
929,"Rozhovor","Spolupráce s odborníky, Podpora","Rozhovor"
1172,"Proaktivní řešení","Podpora, Přemístění žáka","Podpora"
955,"Dohoda","Podpora","Dohoda"
884,"Rozhovor","Upozornění, Podpora","Rozhovor"
1372,"Důsledky","","Důsledky"
401,"Podpora","Proaktivní řešení, Důsledky","(Kázeňské) Tresty"
123,"Proaktivní řešení","Podpora, Upozornění","Podpora"
1208,"Rozhovor","Dohoda, Proaktivní řešení","Rozhovor"
1330,"Podpora","Proaktivní řešení, Práce s kolektivem","Podpora"
220,"Podpora","Rozhovor, Upozornění","Podpora"
2,"Nerespektující komunikace","Přemístění žáka, Důsledky","Rozhovor"
699,"Přemístění žáka","Spolupráce s odborníky, Důsledky","Důsledky"
442,"Rozhovor","Podpora, Spolupráce s odborníky","Rozhovor"
1380,"Rozhovor","Upozornění","Rozhovor"
649,"Rozhovor","Podpora","Rozhovor"
1283,"Podpora","Rozhovor, Proaktivní řešení","Rozhovor"
1255,"Rozhovor","Práce s kolektivem","Rozhovor"
796,"Rozhovor","Podpora, Proaktivní řešení","Rozhovor"
557,"Rozhovor","","Rozhovor"
1060,"Rozhovor","Podpora","Rozhovor"
1195,"Spolupráce s odborníky","Přemístění žáka, Důsledky","Spolupráce s odborníky"
485,"Rozhovor","Důsledky, Práce s kolektivem","Rozhovor"
1265,"Práce s kolektivem","Rozhovor","Práce s kolektivem"
743,"Práce s kolektivem","Rozhovor","Rozhovor"
864,"Proaktivní řešení","Práce s kolektivem, Podpora","Podpora"
871,"Rozhovor","Důsledky, Proaktivní řešení","Rozhovor"
1029,"Přemístění žáka","Podpora, Spolupráce s odborníky","Přemístění žáka"
643,"Rozhovor","Upozornění, Podpora","Rozhovor"
961,"Rozhovor","Dohoda, Podpora","Rozhovor"
231,"Rozhovor","Upozornění, Podpora","Rozhovor"
379,"Rozhovor","Práce s kolektivem, Upozornění","Rozhovor"
419,"Spolupráce s odborníky","Důsledky","Rozhovor"
493,"Rozhovor","Spolupráce s odborníky, Podpora","Rozhovor"
380,"Rozhovor","Upozornění","Rozhovor"
188,"(Kázeňské) Tresty","Upozornění","(Kázeňské) Tresty"
338,"Nerespektující komunikace","Upozornění","Nerespektující komunikace"
1276,"Rozhovor","Spolupráce s odborníky","Rozhovor"
270,"Nerespektující komunikace","Upozornění, (Kázeňské) Tresty, Podpora","Nerespektující komunikace"
202,"Přemístění žáka","Upozornění, Podpora","Přemístění žáka"
402,"Důsledky","Upozornění","Důsledky"
566,"Podpora","Proaktivní řešení, Práce s kolektivem","Podpora"
1412,"Rozhovor","Upozornění, Nerespektující komunikace","Nerespektující komunikace"
1105,"Dohoda","Podpora, Rozhovor","Podpora"
509,"Rozhovor","Dohoda, Upozornění","Rozhovor"
1364,"Rozhovor","Upozornění, (Kázeňské) Tresty","Rozhovor"
777,"Práce s kolektivem","Upozornění, (Kázeňské) Tresty, Nerespektující komunikace","Dohoda"
14,"Spolupráce s odborníky","Rozhovor, Podpora","Rozhovor"
