"uid","is_published","age","wc_description","wc_anamnesis","wc_solution","wc_outcome","ai_complete"
"exp4106","true",13,133,115,149,126,TRUE
"exp4105","true",13,116,83,100,83,TRUE
"exp4104","true",7,274,233,303,159,TRUE
"exp4103","true",6,92,63,66,25,TRUE
"exp4102","true",16,75,85,110,43,TRUE
"exp4100","true",14,226,157,118,173,TRUE
"exp4099","true",16,99,61,83,89,TRUE
"exp4098","true",10,63,82,67,21,TRUE
"exp4097","true",17,106,79,108,43,TRUE
"exp4096","true",12,66,63,67,30,TRUE
"exp4095","true",15,127,121,177,121,TRUE
"exp4094","true",9,67,61,74,25,TRUE
"exp4093","true",13,116,77,82,38,TRUE
"exp4092","true",17,75,69,79,16,TRUE
"exp4091","true",12,63,63,70,31,TRUE
"exp4090","true",13,96,144,91,42,TRUE
"exp4089","true",12,81,82,87,28,TRUE
"exp4088","true",14,152,165,218,143,TRUE
"exp4087","true",14,78,104,117,116,TRUE
"exp4086","true",12,100,79,112,93,TRUE
"exp4085","true",13,101,90,93,88,TRUE
"exp4084","true",14,69,61,82,89,TRUE
"exp4083","true",18,127,101,133,99,TRUE
"exp4082","true",13,116,93,110,68,TRUE
"exp4081","true",13,136,72,91,26,TRUE
"exp4080","true",9,74,131,83,98,TRUE
"exp4079","true",18,101,162,113,84,TRUE
"exp4078","true",10,139,79,NA,NA,TRUE
"exp4077","true",14,67,67,66,7,TRUE
"exp4076","true",14,66,124,113,86,TRUE
"exp4075","true",17,76,70,131,47,TRUE
"exp4074","true",10,77,72,58,72,TRUE
"exp4073","true",6,73,75,72,35,TRUE
"exp4072","true",9,84,75,123,37,TRUE
"exp4071","true",14,98,68,71,17,TRUE
"exp4070","true",11,75,102,96,45,TRUE
"exp4069","true",13,78,80,77,58,TRUE
"exp4068","true",12,79,72,86,18,TRUE
"exp4067","true",14,82,65,228,28,TRUE
"exp4066","true",13,353,73,180,95,TRUE
"exp4065","true",13,127,74,68,43,TRUE
"exp4064","true",10,79,71,107,56,TRUE
"exp4063","true",11,73,99,85,44,TRUE
"exp4062","true",11,110,80,100,63,TRUE
"exp4061","true",12,140,109,143,133,TRUE
"exp4060","true",15,232,82,151,81,TRUE
"exp4059","true",15,97,76,62,66,TRUE
"exp4058","true",13,66,136,101,92,TRUE
"exp4057","true",13,74,77,116,88,TRUE
"exp4056","true",17,97,65,64,57,TRUE
"exp4055","true",7,70,68,76,51,TRUE
"exp4054","true",11,98,74,91,83,TRUE
"exp4053","true",16,66,80,236,29,TRUE
"exp4052","true",12,69,68,89,48,TRUE
"exp4051","true",10,73,65,67,25,TRUE
"exp4050","true",8,70,79,74,57,TRUE
"exp4049","true",14,114,93,123,104,TRUE
"exp4048","true",10,83,74,84,56,TRUE
"exp4047","true",8,128,114,66,88,TRUE
"exp4046","true",11,126,145,122,121,TRUE
"exp4045","true",14,477,120,161,60,TRUE
"exp4044","true",11,63,91,76,83,TRUE
"exp4043","true",7,67,72,88,118,TRUE
"exp4042","true",13,180,70,469,70,TRUE
"exp4041","true",17,71,140,268,175,TRUE
"exp4040","true",16,112,119,98,104,TRUE
"exp4039","true",13,127,158,229,218,TRUE
"exp4038","true",12,71,80,76,70,TRUE
"exp4037","true",12,196,86,206,126,TRUE
"exp4036","true",14,137,71,81,44,TRUE
"exp4035","true",11,111,70,101,102,TRUE
"exp4034","true",7,109,97,115,158,TRUE
"exp4033","true",7,78,74,87,53,TRUE
"exp4032","true",13,80,84,102,103,TRUE
"exp4031","true",16,154,107,175,22,TRUE
"exp4030","true",14,182,64,149,62,TRUE
"exp4029","true",7,60,64,72,64,TRUE
"exp4028","true",13,110,126,109,91,TRUE
"exp4027","true",11,176,66,74,74,TRUE
"exp4026","true",13,146,63,85,23,TRUE
"exp4025","true",13,93,80,90,67,TRUE
"exp4024","true",9,75,75,80,33,TRUE
"exp4023","true",8,80,85,97,81,TRUE
"exp4022","true",17,123,128,210,135,TRUE
"exp4021","true",13,72,78,101,90,TRUE
"exp4020","true",13,104,128,177,107,TRUE
"exp4019","true",12,106,93,97,271,TRUE
"exp4018","true",17,130,86,146,65,TRUE
"exp4017","true",18,98,68,156,57,TRUE
"exp4016","true",13,89,106,118,111,TRUE
"exp4015","true",13,100,69,74,24,TRUE
"exp4014","true",14,94,85,85,140,TRUE
"exp4013","true",12,219,220,260,66,TRUE
"exp4012","true",14,107,121,104,82,TRUE
"exp4011","true",13,76,61,69,44,TRUE
"exp4010","true",16,78,97,73,54,TRUE
"exp4009","true",17,65,71,82,14,TRUE
"exp4008","true",0,121,65,117,88,TRUE
"exp4007","true",15,128,157,179,120,TRUE
"exp4006","true",12,63,94,69,52,TRUE
"exp4005","true",12,80,119,98,26,TRUE
"exp4004","true",14,88,88,109,55,TRUE
"exp4003","true",12,79,96,68,86,TRUE
"exp4002","true",13,92,100,268,186,TRUE
"exp4001","true",7,81,63,72,25,TRUE
"exp4000","true",7,93,122,97,72,TRUE
"exp3999","true",16,124,92,114,35,TRUE
"exp3998","true",12,61,58,63,27,TRUE
"exp3997","true",14,98,117,163,50,TRUE
"exp3996","true",11,122,54,105,85,TRUE
"exp3995","true",14,101,62,50,47,TRUE
"exp3994","true",14,71,78,135,93,TRUE
"exp3993","true",12,106,64,183,80,TRUE
"exp3992","true",16,67,86,72,96,TRUE
"exp3991","true",0,74,61,61,18,TRUE
"exp3990","true",12,51,59,82,45,TRUE
"exp3989","true",17,93,78,107,70,TRUE
"exp3988","true",13,87,82,92,93,TRUE
"exp3987","true",7,93,158,134,256,TRUE
"exp3986","true",12,71,66,69,26,TRUE
"exp3985","true",12,97,101,96,116,TRUE
"exp3984","true",11,107,115,508,76,TRUE
"exp3983","true",15,118,245,171,110,TRUE
"exp3982","true",14,136,95,179,66,TRUE
"exp3981","true",8,110,56,97,54,TRUE
"exp3980","true",14,62,67,57,61,TRUE
"exp3979","true",7,127,111,102,103,TRUE
"exp3978","true",16,70,68,92,144,TRUE
"exp3977","true",13,67,82,127,85,TRUE
"exp3976","true",7,79,102,264,28,TRUE
"exp3975","true",12,97,71,82,86,TRUE
"exp3974","true",13,118,132,96,137,TRUE
"exp3973","true",12,94,80,87,62,TRUE
"exp3972","true",15,85,70,421,113,TRUE
"exp3971","true",16,113,108,117,97,TRUE
"exp3970","true",13,100,80,83,96,TRUE
"exp3969","true",10,235,83,100,29,TRUE
"exp3968","true",12,70,261,102,56,TRUE
"exp3967","true",14,124,78,193,73,TRUE
"exp3966","true",11,95,85,83,59,TRUE
"exp3965","true",14,105,116,104,52,TRUE
"exp3964","true",16,89,70,NA,NA,TRUE
"exp3963","true",13,304,113,188,144,TRUE
"exp3962","true",18,78,66,108,68,TRUE
"exp3961","true",13,120,106,168,100,TRUE
"exp3960","true",13,178,45,103,32,TRUE
"exp3959","true",6,74,82,101,102,TRUE
"exp3958","true",8,71,69,85,68,TRUE
"exp3957","true",11,107,81,102,29,TRUE
"exp3956","true",19,176,93,59,30,TRUE
"exp3955","true",14,72,70,72,38,TRUE
"exp3954","true",14,60,103,64,7,TRUE
"exp3953","true",13,99,77,130,129,TRUE
"exp3952","true",12,116,97,114,65,TRUE
"exp3951","true",15,114,66,77,86,TRUE
"exp3950","true",14,85,74,82,127,TRUE
"exp3949","true",12,264,110,83,78,TRUE
"exp3948","true",18,74,76,168,48,TRUE
"exp3947","true",13,152,71,194,88,TRUE
"exp3946","true",8,117,194,187,154,TRUE
"exp3945","true",11,65,88,178,127,TRUE
"exp3944","true",14,102,82,137,90,TRUE
"exp3943","true",14,79,84,77,36,TRUE
"exp3942","true",16,102,105,78,46,TRUE
"exp3941","true",17,85,66,80,69,TRUE
"exp3940","true",14,79,74,82,70,TRUE
"exp3939","true",8,105,98,128,111,TRUE
"exp3938","true",9,169,154,177,116,TRUE
"exp3937","true",14,113,149,252,95,TRUE
"exp3936","true",9,79,73,91,41,TRUE
"exp3935","true",10,97,104,64,28,TRUE
"exp3934","true",17,146,163,157,100,TRUE
"exp3933","true",7,591,299,262,83,TRUE
"exp3932","true",15,68,138,77,20,TRUE
"exp3931","true",11,106,81,176,60,TRUE
"exp3930","true",6,63,82,67,113,TRUE
"exp3929","true",17,141,115,152,122,TRUE
"exp3928","true",7,102,140,95,133,TRUE
"exp3927","true",15,296,148,155,91,TRUE
"exp3926","true",16,69,65,68,81,TRUE
"exp3925","true",8,145,143,124,107,TRUE
"exp3924","true",8,189,146,80,50,TRUE
"exp3923","true",8,157,113,211,94,TRUE
"exp3922","true",11,158,176,163,63,TRUE
"exp3921","true",9,119,107,128,207,TRUE
"exp3920","true",0,162,105,159,100,TRUE
"exp3919","true",14,106,98,147,103,TRUE
"exp3918","true",17,88,96,152,21,TRUE
"exp3917","true",0,104,81,162,48,TRUE
"exp3916","true",15,118,165,119,82,TRUE
"exp3915","true",12,71,79,218,70,TRUE
"exp3914","true",9,193,89,172,92,TRUE
"exp3913","true",16,98,82,91,95,TRUE
"exp3912","true",15,123,120,86,95,TRUE
"exp3911","true",13,91,92,106,93,TRUE
"exp3910","true",14,405,159,171,134,TRUE
"exp3909","true",15,87,85,81,27,TRUE
"exp3908","true",14,73,90,115,21,TRUE
"exp3907","true",12,91,130,167,74,TRUE
"exp3906","true",13,79,69,82,48,TRUE
"exp3905","true",14,69,131,158,78,TRUE
"exp3904","true",7,111,105,72,68,TRUE
"exp3903","true",14,213,133,170,38,TRUE
"exp3902","true",13,107,74,112,65,TRUE
"exp3901","true",10,78,74,97,50,TRUE
"exp3900","true",10,61,108,122,33,TRUE
"exp3899","true",14,90,77,95,188,TRUE
"exp3898","true",11,94,116,269,61,TRUE
"exp3897","true",14,236,101,222,135,TRUE
"exp3896","true",14,196,147,226,146,TRUE
"exp3895","true",6,95,116,173,96,TRUE
"exp3894","true",13,73,86,98,37,TRUE
"exp3893","true",16,115,60,71,65,TRUE
"exp3891","true",11,113,90,109,58,TRUE
"exp3890","true",13,129,NA,123,71,TRUE
"exp3889","true",10,81,88,134,31,TRUE
"exp3888","true",13,88,72,165,78,TRUE
"exp3887","true",13,188,118,120,163,TRUE
"exp3886","true",13,134,114,157,167,TRUE
"exp3885","true",7,103,104,134,82,TRUE
"exp3884","true",16,66,85,94,52,TRUE
"exp3883","true",17,68,67,151,25,TRUE
"exp3882","true",15,118,100,133,69,TRUE
"exp3881","true",14,99,77,87,125,TRUE
"exp3880","true",8,74,72,87,40,TRUE
"exp3879","true",12,115,66,129,68,TRUE
"exp3878","true",15,70,73,70,59,TRUE
"exp3877","true",11,97,73,97,38,TRUE
"exp3876","true",13,62,110,68,170,TRUE
"exp3875","true",8,86,75,133,66,TRUE
"exp3874","true",8,79,98,138,139,TRUE
"exp3873","true",18,224,206,234,340,TRUE
"exp3872","true",12,65,81,103,18,TRUE
"exp3871","true",19,94,65,91,74,TRUE
"exp3870","true",14,96,79,67,61,TRUE
"exp3869","true",10,127,109,148,74,TRUE
"exp3868","true",12,67,69,74,61,TRUE
"exp3867","true",13,83,82,74,46,TRUE
"exp3866","true",16,64,117,78,106,TRUE
"exp3865","true",7,90,130,82,39,TRUE
"exp3864","true",13,118,268,296,251,TRUE
"exp3863","true",15,121,87,70,144,TRUE
"exp3862","true",14,142,83,115,62,TRUE
"exp3861","true",8,71,82,74,35,TRUE
"exp3860","true",15,71,73,77,156,TRUE
"exp3859","true",11,69,73,62,34,TRUE
"exp3858","true",13,102,72,118,61,TRUE
"exp3857","true",18,80,89,77,82,TRUE
"exp3856","true",12,101,102,161,48,TRUE
"exp3855","true",9,144,79,91,70,TRUE
"exp3854","true",7,90,119,92,82,TRUE
"exp3853","true",14,193,136,154,76,TRUE
"exp3852","true",10,111,92,175,110,TRUE
"exp3851","true",15,89,87,85,37,TRUE
"exp3850","true",11,144,73,136,101,TRUE
"exp3849","true",17,79,82,175,135,TRUE
"exp3848","true",13,256,179,95,101,TRUE
"exp3847","true",14,73,69,71,41,TRUE
"exp3846","true",9,67,67,62,25,TRUE
"exp3845","true",14,126,150,265,41,TRUE
"exp3844","true",17,69,73,67,109,TRUE
"exp3843","true",6,117,75,89,127,TRUE
"exp3842","true",14,140,175,164,34,TRUE
"exp3841","true",14,81,78,91,48,TRUE
"exp3840","true",10,82,80,119,133,TRUE
"exp3839","true",6,81,80,112,93,TRUE
"exp3838","true",9,88,70,71,65,TRUE
"exp3837","true",16,69,60,110,77,TRUE
"exp3836","true",11,94,56,126,96,TRUE
"exp3835","true",11,321,305,105,244,TRUE
"exp3834","true",15,566,69,131,71,TRUE
"exp3833","true",14,128,91,201,93,TRUE
"exp3832","true",11,129,135,119,242,TRUE
"exp3831","true",13,64,76,82,35,TRUE
"exp3830","true",13,121,129,178,106,TRUE
"exp3829","true",15,65,77,169,44,TRUE
"exp3828","true",17,247,120,152,125,TRUE
"exp3827","true",18,276,126,135,118,TRUE
"exp3826","true",6,68,75,95,59,TRUE
"exp3825","true",13,80,67,68,68,TRUE
"exp3824","true",13,75,105,161,43,TRUE
"exp3823","true",13,121,73,103,91,TRUE
"exp3822","true",8,78,78,71,79,TRUE
"exp3821","true",13,165,71,193,31,TRUE
"exp3820","true",11,74,64,143,57,TRUE
"exp3819","true",9,116,114,102,144,TRUE
"exp3818","true",15,154,87,272,147,TRUE
"exp3817","true",15,114,167,278,112,TRUE
"exp3816","true",15,69,67,161,15,TRUE
"exp3815","true",15,82,76,90,42,TRUE
"exp3814","true",14,344,161,288,110,TRUE
"exp3813","true",16,114,93,174,104,TRUE
"exp3812","true",15,71,55,75,40,TRUE
"exp3811","true",8,70,83,89,34,TRUE
"exp3810","true",10,122,67,85,107,TRUE
"exp3809","true",17,74,96,71,33,TRUE
"exp3808","true",12,63,82,80,110,TRUE
"exp3807","true",11,247,174,119,166,TRUE
"exp3806","true",8,259,82,120,68,TRUE
"exp3805","true",16,247,308,346,296,TRUE
"exp3804","true",13,97,83,63,3,TRUE
"exp3803","true",18,68,62,71,38,TRUE
"exp3802","true",13,73,101,107,74,TRUE
"exp3801","true",12,123,55,292,94,TRUE
"exp3800","true",14,81,136,152,88,TRUE
"exp3799","true",14,163,219,238,79,TRUE
"exp3798","true",8,82,80,203,66,TRUE
"exp3797","true",10,119,64,94,72,TRUE
"exp3796","true",14,180,104,157,64,TRUE
"exp3795","true",13,73,78,81,21,TRUE
"exp3794","true",9,78,64,61,52,TRUE
"exp3793","true",8,82,75,117,49,TRUE
"exp3792","true",12,127,193,145,114,TRUE
"exp3791","true",12,95,201,133,241,TRUE
"exp3790","true",16,75,71,73,68,TRUE
"exp3789","true",10,110,80,96,20,TRUE
"exp3788","true",10,96,157,84,149,TRUE
"exp3787","true",11,97,82,64,50,TRUE
"exp3786","true",7,78,63,75,NA,TRUE
"exp3785","true",18,96,106,83,77,TRUE
"exp3784","true",11,75,80,68,56,TRUE
"exp3783","true",15,69,74,65,11,TRUE
"exp3782","true",11,376,111,96,127,TRUE
"exp3781","true",14,66,78,149,123,TRUE
"exp3780","true",9,101,70,78,46,TRUE
"exp3779","true",15,135,118,167,192,TRUE
"exp3778","true",11,111,76,106,156,TRUE
"exp3777","true",13,113,119,116,96,TRUE
"exp3776","true",12,119,133,130,119,TRUE
"exp3775","true",14,124,141,172,129,TRUE
"exp3774","true",14,151,82,116,59,TRUE
"exp3773","true",18,122,77,119,59,TRUE
"exp3772","true",15,71,67,76,92,TRUE
"exp3771","true",9,273,127,117,125,TRUE
"exp3770","true",13,120,66,88,53,TRUE
"exp3769","true",12,143,67,60,131,TRUE
"exp3768","true",13,159,69,97,48,TRUE
"exp3767","true",8,134,128,119,127,TRUE
"exp3766","true",14,68,68,136,74,TRUE
"exp3765","true",15,90,80,169,127,TRUE
"exp3764","true",7,243,149,184,171,TRUE
"exp3763","true",11,173,97,205,80,TRUE
"exp3762","true",16,90,78,80,47,TRUE
"exp3761","true",12,124,67,118,19,TRUE
"exp3760","true",8,72,69,75,69,TRUE
"exp3759","true",13,108,119,178,136,TRUE
"exp3758","true",13,197,150,130,109,TRUE
"exp3757","true",11,69,66,85,20,TRUE
"exp3756","true",18,177,108,75,95,TRUE
"exp3755","true",7,105,117,117,93,TRUE
"exp3754","true",8,79,78,109,122,TRUE
"exp3753","true",12,111,114,132,81,TRUE
"exp3752","true",12,67,60,134,66,TRUE
"exp3751","true",8,103,130,173,120,TRUE
"exp3750","true",10,243,94,146,102,TRUE
"exp3749","true",12,261,102,95,84,TRUE
"exp3748","true",15,171,129,378,57,TRUE
"exp3747","true",15,86,50,121,128,TRUE
"exp3746","true",14,107,64,83,68,TRUE
"exp3745","true",13,253,141,158,110,TRUE
"exp3744","true",14,80,88,105,70,TRUE
"exp3743","true",18,116,112,141,49,TRUE
"exp3742","true",14,102,92,155,54,TRUE
"exp3741","true",11,87,64,67,73,TRUE
"exp3740","true",11,152,158,160,123,TRUE
"exp3739","true",13,69,82,117,61,TRUE
"exp3738","true",14,103,63,113,41,TRUE
"exp3737","true",10,338,130,245,180,TRUE
"exp3736","true",15,59,65,107,50,TRUE
"exp3735","true",13,123,78,137,185,TRUE
"exp3734","true",7,63,76,107,70,TRUE
"exp3733","true",10,67,71,80,37,TRUE
"exp3732","true",13,159,137,189,125,TRUE
"exp3731","true",17,179,80,223,29,TRUE
"exp3730","true",9,64,122,73,37,TRUE
"exp3729","true",11,101,74,195,55,TRUE
"exp3728","true",17,63,73,74,65,TRUE
"exp3695","true",14,NA,NA,NA,NA,TRUE
"exp3694","true",12,83,112,95,86,TRUE
"exp3693","true",14,77,123,103,75,TRUE
"exp3692","true",13,89,74,78,43,TRUE
"exp3691","true",14,166,115,151,138,TRUE
"exp3690","true",16,105,105,105,98,TRUE
"exp3689","true",15,71,65,80,83,TRUE
"exp3688","true",13,126,119,119,163,TRUE
"exp3687","true",12,92,85,107,84,TRUE
"exp3686","true",8,182,142,147,164,TRUE
"exp3685","true",17,100,82,152,82,TRUE
