case_uid,model,varianta,mnozina,predikce,otisk_nasazeni,dopad_A12,dopad_A2,datum
exp1280,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,DU,,2026-09-08
exp1269,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,DU,,2026-09-08
exp1250,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,DU,,2026-09-08
exp1225,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,DU,,2026-09-08
exp1200,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,KU,,2026-09-08
exp1215,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,NEU,,2026-09-08
exp1062,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,NEU,,2026-09-08
exp1031,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,DU,,2026-09-08
exp1007,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,NEU,,2026-09-08
exp993,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,DU,,2026-09-08
exp966,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,KU,,2026-09-08
exp928,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,KU,,2026-09-08
exp901,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,DU,,2026-09-08
exp804,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,NEU,,2026-09-08
exp754,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,KU,,2026-09-08
exp760,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,KU,,2026-09-08
exp710,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,DU,,2026-09-08
exp715,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,NEU,,2026-09-08
exp671,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,DU,,2026-09-08
exp653,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,NEU,,2026-09-08
exp638,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,DU,,2026-09-08
exp637,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,KU,,2026-09-08
exp543,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,NEU,,2026-09-08
exp527,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,DU,,2026-09-08
exp507,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,NEU,,2026-09-08
exp446,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,DU,,2026-09-08
exp407,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,KU,,2026-09-08
exp398,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,DU,,2026-09-08
exp367,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,NEU,,2026-09-08
exp353,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,NEU,,2026-09-08
exp310,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,DU,,2026-09-08
exp289,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,NEU,,2026-09-08
exp295,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,KU,,2026-09-08
exp288,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,KU,,2026-09-08
exp153,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,DU,,2026-09-08
exp83,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,NEU,,2026-09-08
exp15,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,NEU,,2026-09-08
exp3021,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,NEU,2026-09-08
exp3048,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,KU,2026-09-08
exp3058,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,KU,2026-09-08
exp3061,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,,NEU,2026-09-08
exp3087,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,DU,2026-09-08
exp3104,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,KU,2026-09-08
exp3112,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,DU,2026-09-08
exp3116,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,DU,2026-09-08
exp3176,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,,KU,2026-09-08
exp3182,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,NEU,2026-09-08
exp3208,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,,KU,2026-09-08
exp3222,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,,NEU,2026-09-08
exp3226,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,DU,2026-09-08
exp3347,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,DU,2026-09-08
exp3382,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,KU,2026-09-08
exp3400,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,,NEU,2026-09-08
exp3460,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,KU,2026-09-08
exp3479,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,,KU,2026-09-08
exp3488,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,,DU,2026-09-08
exp3515,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,DU,2026-09-08
exp3526,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,,DU,2026-09-08
exp3532,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,DU,2026-09-08
exp3536,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,DU,2026-09-08
exp3555,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,DU,2026-09-08
exp3578,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,KU,2026-09-08
exp3600,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,DU,2026-09-08
exp3614,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,,KU,2026-09-08
exp3623,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,KU,2026-09-08
exp3659,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,KU,2026-09-08
exp3751,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,,DU,2026-09-08
exp3774,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,,KU,2026-09-08
exp3783,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,DU,2026-09-08
exp3793,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,KU,2026-09-08
exp3799,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,DU,2026-09-08
exp3805,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,KU,2026-09-08
exp3814,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,,KU,2026-09-08
exp3829,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,DU,2026-09-08
exp3842,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,KU,2026-09-08
exp3856,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,DU,2026-09-08
exp3862,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,,KU,2026-09-08
exp3868,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,KU,2026-09-08
exp3875,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,DU,2026-09-08
exp3876,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,KU,2026-09-08
exp3919,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,,DU,2026-09-08
exp3974,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,KU,2026-09-08
exp3982,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,KU,2026-09-08
exp4006,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,KU,2026-09-08
exp4011,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,,KU,2026-09-08
exp4062,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,,KU,2026-09-08
exp4094,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,DU,2026-09-08
exp4240,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,,DU,2026-09-08
exp4262,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,KU,2026-09-08
exp4320,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,,DU,2026-09-08
exp2685,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,,DU,2026-09-08
exp1852,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,KU,,2026-09-08
exp1910,qwen3.5-int4,zero_shot,dev,DU,f93b9fdeef8716b2,DU,,2026-09-08
exp1936,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,NEU,,2026-09-08
exp2076,qwen3.5-int4,zero_shot,dev,DU,f93b9fdeef8716b2,DU,,2026-09-08
exp2114,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,KU,,2026-09-08
exp2222,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,KU,,2026-09-08
exp2274,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,KU,,2026-09-08
exp1433,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,NEU,,2026-09-08
exp1318,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,NEU,,2026-09-08
exp1280,qwen3.5-int4,zero_shot,dev,DU,f93b9fdeef8716b2,DU,,2026-09-08
exp1269,qwen3.5-int4,zero_shot,dev,DU,f93b9fdeef8716b2,DU,,2026-09-08
exp1250,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,DU,,2026-09-08
exp1225,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,DU,,2026-09-08
exp1200,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,KU,,2026-09-08
exp1215,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,NEU,,2026-09-08
exp1062,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,NEU,,2026-09-08
exp1031,qwen3.5-int4,zero_shot,dev,DU,f93b9fdeef8716b2,DU,,2026-09-08
exp1007,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,NEU,,2026-09-08
exp993,qwen3.5-int4,zero_shot,dev,DU,f93b9fdeef8716b2,DU,,2026-09-08
exp966,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,KU,,2026-09-08
exp928,qwen3.5-int4,zero_shot,dev,DU,f93b9fdeef8716b2,KU,,2026-09-08
exp901,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,DU,,2026-09-08
exp804,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,NEU,,2026-09-08
exp754,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,KU,,2026-09-08
exp760,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,KU,,2026-09-08
exp710,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,DU,,2026-09-08
exp715,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,NEU,,2026-09-08
exp671,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,DU,,2026-09-08
exp653,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,NEU,,2026-09-08
exp638,qwen3.5-int4,zero_shot,dev,DU,f93b9fdeef8716b2,DU,,2026-09-08
exp637,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,KU,,2026-09-08
exp543,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,NEU,,2026-09-08
exp527,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,DU,,2026-09-08
exp507,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,NEU,,2026-09-08
exp446,qwen3.5-int4,zero_shot,dev,DU,f93b9fdeef8716b2,DU,,2026-09-08
exp407,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,KU,,2026-09-08
exp398,qwen3.5-int4,zero_shot,dev,DU,f93b9fdeef8716b2,DU,,2026-09-08
exp367,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,NEU,,2026-09-08
exp353,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,NEU,,2026-09-08
exp310,qwen3.5-int4,zero_shot,dev,DU,f93b9fdeef8716b2,DU,,2026-09-08
exp289,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,NEU,,2026-09-08
exp295,qwen3.5-int4,zero_shot,dev,DU,f93b9fdeef8716b2,KU,,2026-09-08
exp288,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,KU,,2026-09-08
exp153,qwen3.5-int4,zero_shot,dev,DU,f93b9fdeef8716b2,DU,,2026-09-08
exp83,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,NEU,,2026-09-08
exp15,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,NEU,,2026-09-08
exp3021,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,,NEU,2026-09-08
exp3048,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,,KU,2026-09-08
exp3058,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,,KU,2026-09-08
exp3061,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,,NEU,2026-09-08
exp3087,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,,DU,2026-09-08
exp3104,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,,KU,2026-09-08
exp3112,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,,DU,2026-09-08
exp3116,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,,DU,2026-09-08
exp3176,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,,KU,2026-09-08
exp3182,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,,NEU,2026-09-08
exp3208,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,,KU,2026-09-08
exp3222,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,,NEU,2026-09-08
exp3226,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,,DU,2026-09-08
exp3347,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,,DU,2026-09-08
exp3382,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,,KU,2026-09-08
exp3400,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,,NEU,2026-09-08
exp3460,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,,KU,2026-09-08
exp3479,qwen3.5-int4,zero_shot,dev,DU,f93b9fdeef8716b2,,KU,2026-09-08
exp3488,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,,DU,2026-09-08
exp3515,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,,DU,2026-09-08
exp3526,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,,DU,2026-09-08
exp3532,qwen3.5-int4,zero_shot,dev,DU,f93b9fdeef8716b2,,DU,2026-09-08
exp3536,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,,DU,2026-09-08
exp3555,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,,DU,2026-09-08
exp3578,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,,KU,2026-09-08
exp3600,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,,DU,2026-09-08
exp3614,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,,KU,2026-09-08
exp3623,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,,KU,2026-09-08
exp3659,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,,KU,2026-09-08
exp3751,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,,DU,2026-09-08
exp3774,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,,KU,2026-09-08
exp3783,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,,DU,2026-09-08
exp3793,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,,KU,2026-09-08
exp3799,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,,DU,2026-09-08
exp3805,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,,KU,2026-09-08
exp3814,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,,KU,2026-09-08
exp3829,qwen3.5-int4,zero_shot,dev,DU,f93b9fdeef8716b2,,DU,2026-09-08
exp3842,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,,KU,2026-09-08
exp3856,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,,DU,2026-09-08
exp3862,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,,KU,2026-09-08
exp3868,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,,KU,2026-09-08
exp3875,qwen3.5-int4,zero_shot,dev,,f93b9fdeef8716b2,,DU,2026-09-08
exp3876,qwen3.5-int4,zero_shot,dev,NEU,f93b9fdeef8716b2,,KU,2026-09-08
exp3919,qwen3.5-int4,zero_shot,dev,DU,f93b9fdeef8716b2,,DU,2026-09-08
exp3974,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,,KU,2026-09-08
exp3982,qwen3.5-int4,zero_shot,dev,KU,f93b9fdeef8716b2,,KU,2026-09-08
